TITLE,DESCRIPTION,COVER_LINK,AMAZON_LINK
Stories of 25 Prophets In Islam,Inspiring Tales For Children To Learn About Islam,https://m.media-amazon.com/images/W/MEDIAX_1215821-T1/images/I/61FBdME9xWL._SL1000_.jpg,https://amzn.eu/d/eShQNSm
30 Stories From The Quran,Morals and Reflections in Every Chapter to Help Children Learn About Islam,https://m.media-amazon.com/images/W/MEDIAX_1215821-T1/images/I/817ySe4hHKL._SL1500_.jpg,https://amzn.eu/d/fVDOo4G
20 Easy and Simple Daily Duas,Basic Everyday Supplications To Make Each Day Productive. With English Translation and Transliteration,https://m.media-amazon.com/images/W/MEDIAX_1215821-T1/images/I/71amD2w0tjL._SL1500_.jpg,https://amzn.eu/d/c6UlCFq
Zainab's First Ramadan,Introducing Fasting to kids,https://m.media-amazon.com/images/W/MEDIAX_1215821-T1/images/I/71RgXfOY4DL._SL1500_.jpg,https://amzn.eu/d/dXU7ND5
The Life Story Of Prophet Muhammed (SAW),A Seerah Biography For Children,https://m.media-amazon.com/images/W/MEDIAX_1215821-T1/images/I/614E3GKlD6L._SL1000_.jpg,https://amzn.eu/d/hwJaCy8
Stories Of The Sahaba,The Companions Of The Prophet Muhammad (SAW),https://m.media-amazon.com/images/W/MEDIAX_1215821-T1/images/I/81Ei7Uh8ycL._SL1500_.jpg,https://amzn.eu/d/2Z93aC5
Prophetic Sunnahs For Everyday,A Compilation of Easy-to-follow Islamic Values Based on Sahih Hadiths With Pointwise Presentation,https://m.media-amazon.com/images/W/MEDIAX_1215821-T1/images/I/71JPEqcAfML._SL1500_.jpg,https://amzn.eu/d/gZYbXXf
My First Book About Allah,Introduce Islam to Toddlers and Young Children,https://m.media-amazon.com/images/W/MEDIAX_1215821-T1/images/I/61IXDfd6+WL._SL1000_.jpg,https://amzn.eu/d/00BIbMd
Islamic Puzzle and Activity Book,Kids love fun activities and challenges,https://m.media-amazon.com/images/W/MEDIAX_1215821-T1/images/I/71PnfqRisjL._SL1430_.jpg,https://amzn.eu/d/cNUlUuL
